Bolge,Toprak_Tipi,Tarla_Alani_Donum,Ekim_Ayı,Ortalama_Sicaklik,Yagis_Miktari_mm,Gubre_Miktari_kg,Sulama_Sikligi_Hafta,Hasere_Yogunlugu,Hasat_Verimi_Ton,Sulama_Maliyeti,Bolge_encoded,Toprak_Tipi_encoded,Ekim_Ayı_encoded
Akdeniz,Kumlu,129.62694459540833,Kasım,18.703635209895968,76.7943797424176,54.66131722653289,3,0.7142152859051399,2.127653540620272,71.77731141983827,0,2,2
Güneydoğu Anadolu,Killi,436.5205575042622,Aralık,23.65590146767204,84.9472052126295,51.41054131119324,2,0.8133168833469403,2.5693972238098617,54.69145459689709,2,1,0
İç Anadolu,Kalkerli,193.23388441584544,Kasım,25.18317448252968,118.52274223618043,34.60223731577268,1,0.8881661851344859,2.6541470928751814,27.803791048870217,4,0,2
Güneydoğu Anadolu,Killi,265.2736140971359,Ekim,21.83634488174211,89.49479493548112,69.5140154483131,4,0.9350738505120736,2.335747562718213,99.71808513208192,2,1,1
Güneydoğu Anadolu,Killi,394.8185690202176,Aralık,13.619872462162776,129.20140201825498,138.48197756016685,4,0.2092544105052787,4.306817222652173,122.25037766957615,2,1,0
Marmara,Kumlu,489.7763597659645,Kasım,17.261935429971007,81.80527483484752,141.32071932082266,3,0.531920600690516,3.445929023514174,110.7826812632681,3,2,2
Akdeniz,Kalkerli,363.8685813227606,Kasım,20.23652943112823,83.01249475541793,68.8993828715027,2,0.6764378674997095,1.573513942798261,66.22893282296799,0,0,2
Güneydoğu Anadolu,Kumlu,171.42625525585666,Ekim,17.523130960322497,49.048552486824775,92.39403234007813,2,0.3991027290825776,1.4846980053193788,72.16457965497582,2,2,1
Ege,Killi,46.43086240607305,Ekim,23.628040982110065,82.08719273267724,67.28670313608802,4,0.7158058689159271,2.250022390119099,99.45034095894232,1,1,1
Marmara,Killi,73.07661241049082,Ekim,25.30975807321391,155.73770955139597,139.4484490145667,1,0.4102232865051931,4.149846152377501,87.7315435201336,3,1,1
İç Anadolu,Killi,231.10795690022508,Kasım,28.015347217076624,130.07284162488895,84.68620610911765,2,0.2959322938158593,3.257192044809364,76.29418212999315,4,1,2
Güneydoğu Anadolu,Tınlı,460.0308786219338,Kasım,23.900161999262306,121.74357384143693,137.62165358884823,1,0.1732333510537043,3.345775375609973,77.02000297013853,2,3,2
Güneydoğu Anadolu,Tınlı,410.2405024659507,Kasım,22.116029825169782,132.98448285118332,25.70503347412938,2,0.7442530045088764,2.4895051699075386,38.67601888437368,2,3,2
Güneydoğu Anadolu,Tınlı,445.28878533365696,Kasım,28.351361486004823,80.30639205872083,88.37745541626367,2,0.0634385010385434,2.5435247904971074,72.03698586045441,2,3,2
Akdeniz,Kumlu,366.1281576231871,Ekim,18.89477205663065,63.45327154339388,61.82368619765484,2,0.9106022764547534,2.511972182506989,68.89350854153801,0,2,1
İç Anadolu,Kumlu,60.76042149589179,Kasım,11.63850257847252,164.15068661756823,98.05882643514356,3,0.5260645280676662,3.4309297293931627,91.92969013452114,4,2,2
İç Anadolu,Kalkerli,127.40261261796716,Aralık,19.161539448163516,116.71458622449624,68.05034809438823,4,0.138430397432439,2.8911652715448977,93.83172145993277,4,0,0
Marmara,Kumlu,292.2473505775397,Ekim,10.668644287293706,73.88947078068037,140.72541013112698,2,0.5733879130221756,3.3866806792696007,106.3045141664921,3,2,1
Akdeniz,Tınlı,66.86345492689134,Kasım,27.61501117613645,93.44516663315554,89.82233615593714,3,0.1418466796842181,2.8374551020142187,90.6220144192901,0,3,2
Güneydoğu Anadolu,Tınlı,50.29204743312573,Aralık,15.270270526062571,81.26182164483765,44.36723168109481,4,0.060799452542061,1.7065757824358458,85.6274391745739,2,3,0
Marmara,Tınlı,67.55590183578398,Aralık,25.518639826548544,66.64493148145282,71.27559930398893,4,0.1384767407502071,2.732693841881177,93.63811219486634,3,3,0
Ege,Kalkerli,401.5502788170267,Aralık,10.477342802537391,146.96694983199154,59.43214373552608,1,0.1325843147456029,2.669692722794959,37.965285606685256,1,0,0
Akdeniz,Killi,368.0879722354901,Aralık,10.9238388266051,81.97061226486016,109.24585106487518,4,0.5089963859368054,2.2232394924943093,111.4501558785099,0,1,0
İç Anadolu,Kalkerli,55.09059058658908,Aralık,16.988228119080297,132.46011951345417,97.22155867668866,2,0.8415936808526213,2.639099591595687,73.75213716745587,4,0,0
Ege,Kalkerli,61.41517843247666,Ekim,11.151593676746296,43.7683657634404,147.69048576726985,1,0.5496311745015137,2.72613284370066,96.21588439600568,1,0,1
Marmara,Kumlu,345.8952070881207,Ekim,7.665080589996799,219.7883794151756,82.1424163889428,2,0.493169572431643,3.2084066938662312,74.04511097863657,3,2,1
Marmara,Killi,344.71802686422507,Ekim,24.15755883907365,61.19184886284319,100.5192011062734,2,0.5467479999060675,2.9295201276803526,86.80700374505771,3,1,1
Ege,Killi,334.7249364555996,Ekim,25.436419675094296,98.25454209784468,67.36269698090896,2,0.3642264933596154,3.5525308617025613,69.13408691981834,1,1,1
Ege,Tınlı,497.5497397715922,Ekim,8.44663707866807,46.50998142572453,20.069303070301665,1,0.930654046717053,0.5939115970458194,34.4596409420201,1,3,1
Ege,Tınlı,22.772785540267638,Kasım,18.900184226624408,53.85361910566084,126.46891676210198,2,0.8555880516968649,2.7443390258673057,93.38429851268072,1,3,2
Marmara,Tınlı,204.57532892458556,Kasım,22.092722300358773,105.44259710289832,133.94907635316676,1,0.006738782162412,3.612923890450809,78.00365438272223,3,3,2
Güneydoğu Anadolu,Kumlu,375.86393894617,Kasım,27.356151625203918,141.91092142304302,92.86640383493788,1,0.0530465695417187,4.053288445599284,58.402602893947126,2,2,2
Akdeniz,Kalkerli,257.4313868089766,Kasım,7.637035496715644,73.274723538907,148.4797191796332,1,0.9917564138239072,2.4237445097750703,88.45867327089262,0,0,2
Marmara,Tınlı,106.80376603311194,Kasım,20.168272637953603,120.76492402125412,113.95131103222904,2,0.999032747867906,2.854650482887982,88.88857857790835,3,3,2
Güneydoğu Anadolu,Killi,26.05855134132895,Kasım,19.817961100220703,100.408576088564,130.32541665701268,1,0.4190233066261403,3.4563188705767987,83.99881754526858,2,1,2
Ege,Kumlu,461.5995431331853,Kasım,12.63232959379616,125.21779108919483,102.38625567046556,1,0.9479030025689218,3.14128712412623,71.64928678241868,1,2,2
Ege,Kalkerli,19.08292448253412,Ekim,17.727859735308854,63.057274220917485,118.06214447054612,4,0.7212623811363337,1.920151776269269,115.89036138783224,1,0,1
Akdeniz,Killi,228.07112245563047,Ekim,14.764920963416376,101.80784037075776,122.22006602116667,1,0.4178989717473144,3.772241999925517,76.95193776650575,0,1,1
İç Anadolu,Kumlu,476.5503729083512,Aralık,14.47501215430765,110.4832087324656,108.88528734580711,2,0.7145271891487077,3.0895579211921667,89.60806483957205,4,2,0
Akdeniz,Kalkerli,246.82911073680265,Aralık,6.608382706440825,75.13132432698505,62.434359802129634,4,0.2141935200866698,2.036789449050565,91.63971956184244,0,0,0
Ege,Killi,379.5466236736141,Kasım,22.37556364050613,76.04226945304708,51.9445504168479,1,0.6797563489723716,2.2598855535448417,36.20545228230876,1,1,2
Güneydoğu Anadolu,Kalkerli,67.79419136021866,Ekim,13.11082747128441,51.13553907271517,107.03709268656692,4,0.4710406866332405,2.3260695635330437,105.00741793099152,2,0,1
Ege,Tınlı,390.182871870594,Kasım,12.527167414416812,94.00326807621109,76.13328003400184,1,0.562444414163253,2.169817555572757,60.75927988409615,1,3,2
İç Anadolu,Killi,267.73106310775097,Kasım,26.21735459348212,58.5755703152633,58.90772204038914,3,0.8598447294016409,2.163950140396385,73.71981744019718,4,1,2
Marmara,Kalkerli,346.6291534723844,Kasım,27.270934477543207,69.76549854645936,94.67702381035068,1,0.2972817730048818,3.509649971349918,60.77626445843827,3,0,2
İç Anadolu,Kalkerli,327.24890288231046,Kasım,24.784493269165075,145.1683490818629,128.15524785486252,1,0.4375368350707149,3.061668313054237,75.18555631603158,4,0,2
Marmara,Tınlı,88.95584269849645,Kasım,16.72234657872122,74.4629479047582,113.81819292912158,4,0.4671951042461476,2.418455361771693,114.77969745521328,3,3,2
İç Anadolu,Kumlu,401.2869898425564,Kasım,27.669594702343364,157.9736407110859,25.24559232685461,4,0.2851786863293702,1.9090618538018265,71.98750531207905,4,2,2
Akdeniz,Kalkerli,252.57690882450072,Aralık,13.781908941218628,143.94191660624654,91.81095548104216,4,0.0665482918635689,3.354164829938919,104.2187966667597,0,0,0
Ege,Tınlı,285.5403715971521,Kasım,13.869074815463613,75.60726276146697,51.46903708153416,1,0.9929461602244138,1.1271257302919404,37.73584687410162,1,3,2
Ege,Kumlu,178.15770628986377,Ekim,15.601405265856648,70.01075847388867,120.54197956084572,4,0.3219324510429565,2.496932969578522,118.52435331839943,1,2,1
Güneydoğu Anadolu,Kalkerli,469.8981359171296,Aralık,27.98738642298174,67.45183761653051,46.21358661072586,1,0.6655717545431902,2.263918110586401,25.135875508204965,2,0,0
Akdeniz,Tınlı,13.81453466834378,Ekim,16.463934152192735,148.63111025661925,45.726575646429886,2,0.3628138945735071,2.4984832374337707,51.90198789381548,0,3,1
Akdeniz,Tınlı,432.7194566899855,Kasım,20.750062766931883,88.23697810960623,62.5242020113215,1,0.2001994844948574,3.019764337815353,36.09413407857345,0,3,2
Güneydoğu Anadolu,Kumlu,171.0831443190455,Kasım,11.78136327634326,108.48187732003204,133.9760461878996,3,0.2821557212760109,3.203647068300358,115.07799712860329,2,2,2
Ege,Kumlu,375.6537455011109,Aralık,22.79562111212064,146.36103656866598,59.50139404786798,1,0.715817967265111,2.91125361392987,50.798979413888944,1,2,0
Güneydoğu Anadolu,Kalkerli,273.8969863905504,Ekim,19.05778281525162,67.52203272261619,69.84222861286156,3,0.1762110754298177,3.101489216919729,83.53861037665467,2,0,1
İç Anadolu,Killi,415.8788488987771,Aralık,18.660879276858022,143.00517740909805,56.35284658842538,3,0.8953348766367641,2.883673042526184,82.13786477026594,4,1,0
Güneydoğu Anadolu,Kalkerli,39.70064053446385,Aralık,22.41977003797276,140.5658901356697,64.10441868059087,1,0.1515814475999832,2.442955286070751,45.88295074848225,2,0,0
Güneydoğu Anadolu,Killi,480.98213638432327,Kasım,15.89537359455517,156.610143866105,114.80428432549073,4,0.2258808638011686,3.619850288977256,114.63214527993752,2,1,2
